"","Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","Date","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
"1",1503960366,2016-04-20,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1786,2016-04-20,1,360,377
"2",1503960366,2016-04-26,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.539999962,0,31,23,279,833,1970,2016-04-26,1,245,274
"3",1503960366,2016-05-06,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,2016-05-06,1,334,367
"4",1503960366,2016-05-03,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,2016-05-03,1,273,296
"5",1503960366,2016-04-15,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,2016-04-15,1,412,442
"6",1927972279,2016-04-26,3761,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,192,1058,2638,2016-04-26,1,296,315
"7",1927972279,2016-04-28,1675,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95,1167,2351,2016-04-28,1,166,178
"8",1927972279,2016-04-15,980,0.6800000072,0.6800000072,0,0,0,0.6800000072,0,0,0,51,941,2221,2016-04-15,2,475,499
"9",1927972279,2016-04-13,356,0.25,0.25,0,0,0,0.25,0,0,0,32,986,2151,2016-04-13,1,398,422
"10",1927972279,2016-04-12,678,0.4699999988,0.4699999988,0,0,0,0.4699999988,0,0,0,55,734,2220,2016-04-12,3,750,775
"11",2026352035,2016-04-20,7222,4.480000019,4.480000019,0,0,0,4.480000019,0,0,0,327,623,1667,2016-04-20,1,461,510
"12",2026352035,2016-05-06,8198,5.079999924,5.079999924,0,0,0,5.079999924,0,0,0,383,511,1736,2016-05-06,1,524,548
"13",2026352035,2016-05-01,3609,2.279999971,2.279999971,0,0,0,2.279999971,0,0,0,191,716,1447,2016-05-01,1,527,546
"14",2026352035,2016-04-27,6088,3.769999981,3.769999981,0,0,0,3.769999981,0,0,0,286,586,1593,2016-04-27,1,508,545
"15",2026352035,2016-04-30,4729,2.930000067,2.930000067,0,0,0,2.930000067,0,0,0,233,594,1506,2016-04-30,1,573,607
"16",2347167796,2016-04-22,7804,5.159999847,5.159999847,0,0.5600000024,1.679999948,2.920000076,0,9,27,206,781,1946,2016-04-22,1,405,461
"17",2347167796,2016-04-26,5980,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,227,732,1861,2016-04-26,1,436,490
"18",2347167796,2016-04-24,9471,6.260000229,6.260000229,0,0,0,6.260000229,0,0,0,360,584,2187,2016-04-24,1,442,459
"19",2347167796,2016-04-23,16901,11.36999989,11.36999989,0,2.779999971,1.450000048,7.150000095,0,32,35,360,591,2629,2016-04-23,1,374,386
"20",2347167796,2016-04-13,10352,7.010000229,7.010000229,0,1.659999967,1.940000057,3.410000086,0,19,32,195,676,2038,2016-04-13,1,467,531
"21",3977333714,2016-04-19,12414,8.779999733,8.779999733,0,2.24000001,2.450000048,3.960000038,0,19,67,221,738,1638,2016-04-19,1,219,395
"22",3977333714,2016-04-26,11388,7.619999886,7.619999886,0,0.4499999881,4.21999979,2.950000048,0,7,95,170,797,1551,2016-04-26,1,250,371
"23",3977333714,2016-04-30,13238,9.199999809,9.199999809,0,3.690000057,2.099999905,3.410000086,0,43,52,194,687,1650,2016-04-30,1,237,382
"24",3977333714,2016-04-28,7114,4.880000114,4.880000114,0,1.370000005,0.2899999917,3.220000029,0,15,8,190,804,1407,2016-04-28,1,261,423
"25",3977333714,2016-05-03,14335,9.590000153,9.590000153,0,3.319999933,1.74000001,4.53000021,0,47,41,258,594,1710,2016-05-03,1,292,500
"26",4020332650,2016-05-03,4496,3.220000029,3.220000029,0,0,0,3.150000095,0.05000000075,0,0,174,950,2828,2016-05-03,1,322,332
"27",4020332650,2016-05-04,10252,7.349999905,7.349999905,0,0.6700000167,1.039999962,5.579999924,0,13,46,346,531,3879,2016-05-04,1,478,536
"28",4020332650,2016-05-08,5862,4.199999809,4.199999809,0,0,0,4.150000095,0,0,0,263,775,3089,2016-05-08,1,364,402
"29",4020332650,2016-05-10,5546,3.980000019,3.980000019,0,0,0,3.869999886,0.03999999911,0,0,206,774,2926,2016-05-10,1,442,494
"30",4020332650,2016-05-06,4369,3.130000114,3.130000114,0,0,0,3.099999905,0.009999999776,0,0,177,855,2704,2016-05-06,1,385,408
"31",4319703577,2016-05-03,9648,6.46999979,6.46999979,0,0.5799999833,1.070000052,4.829999924,0,8,26,287,669,2235,2016-05-03,1,474,512
"32",4319703577,2016-04-29,7990,5.360000134,5.360000134,0,0.4499999881,0.7900000215,4.119999886,0,6,18,289,624,2175,2016-04-29,1,523,546
"33",4319703577,2016-05-12,17,0.009999999776,0.009999999776,0,0,0,0.009999999776,0,0,0,2,0,257,2016-05-12,1,302,321
"34",4319703577,2016-04-30,8221,5.519999981,5.519999981,0,0.400000006,1.610000014,3.50999999,0,6,38,196,695,2092,2016-04-30,1,490,516
"35",4319703577,2016-04-18,2276,1.549999952,1.549999952,0,0.0700000003,0.3300000131,1.120000005,0,1,9,58,824,1632,2016-04-18,1,515,551
"36",4388161847,2016-04-17,4660,3.579999924,3.579999924,0,0,0,3.579999924,0,0,0,201,721,2572,2016-04-17,2,619,641
"37",4388161847,2016-04-27,11193,8.609999657,8.609999657,0,0.6999999881,2.50999999,5.389999866,0,11,48,241,684,3074,2016-04-27,1,439,500
"38",4388161847,2016-05-10,10299,7.920000076,7.920000076,0,0.8100000024,0.6499999762,6.460000038,0,13,14,267,648,3061,2016-05-10,1,354,375
"39",4388161847,2016-04-19,10181,7.829999924,7.829999924,0,1.370000005,0.6899999976,5.769999981,0,20,16,249,704,3015,2016-04-19,1,329,338
"40",4388161847,2016-04-30,12533,9.640000343,9.640000343,0,0.6999999881,2,6.940000057,0,14,43,300,537,3283,2016-04-30,2,409,430
"41",4445114986,2016-04-14,3974,2.670000076,2.670000076,0,0,0,2.670000076,0,0,0,231,717,2194,2016-04-14,1,441,492
"42",4445114986,2016-04-19,2064,1.389999986,1.389999986,0,0,0,1.389999986,0,0,0,121,895,1954,2016-04-19,2,388,424
"43",4445114986,2016-04-20,2072,1.389999986,1.389999986,0,0,0,1.389999986,0,0,0,137,841,1974,2016-04-20,1,439,462
"44",4445114986,2016-05-07,5183,3.589999914,3.589999914,0,2.130000114,0.1899999976,1.25,0,26,4,108,866,2123,2016-05-07,2,401,436
"45",4445114986,2016-04-16,3945,2.650000095,2.650000095,0,0,0,2.650000095,0,0,0,225,716,2180,2016-04-16,1,462,499
"46",4558609924,2016-04-26,9148,6.050000191,6.050000191,0,0.4300000072,2.029999971,3.589999914,0,12,41,283,1062,2223,2016-04-26,1,103,121
"47",4558609924,2016-04-29,7833,5.179999828,5.179999828,0,1.019999981,1.850000024,2.309999943,0,15,29,197,1096,1918,2016-04-29,1,171,179
"48",4558609924,2016-04-21,13743,9.079999924,9.079999924,0,0.4199999869,0.9700000286,7.699999809,0,6,21,432,844,2486,2016-04-21,1,126,137
"49",4558609924,2016-05-08,6543,4.329999924,4.329999924,0,1.799999952,0.5,2.019999981,0,66,35,238,1019,2666,2016-05-08,1,123,134
"50",4558609924,2016-05-01,3428,2.269999981,2.269999981,0,0,0,2.269999981,0,0,0,190,1121,1692,2016-05-01,1,115,129
"51",4702921684,2016-04-17,12692,10.28999996,10.28999996,0,0.9599999785,3.460000038,5.880000114,0,12,66,302,437,3394,2016-04-17,1,591,612
"52",4702921684,2016-05-09,8232,6.679999828,6.679999828,0,0,0.5699999928,6.099999905,0,0,12,253,746,2990,2016-05-09,1,435,458
"53",4702921684,2016-04-16,11140,9.029999733,9.029999733,0,0.2399999946,1.25,7.539999962,0,3,24,335,556,3328,2016-04-16,2,382,406
"54",4702921684,2016-04-26,6108,4.949999809,4.949999809,0,0.0700000003,0.349999994,4.539999962,0,1,8,216,765,2784,2016-04-26,1,421,429
"55",4702921684,2016-04-28,9023,7.320000172,7.320000172,0,1.129999995,0.4199999869,5.769999981,0,14,9,232,738,3033,2016-04-28,1,442,461
"56",5553957443,2016-05-04,4249,2.769999981,2.769999981,0,0,0,2.769999981,0,0,0,224,651,1698,2016-05-04,1,447,470
"57",5553957443,2016-04-13,4832,3.160000086,3.160000086,0,0,0,3.160000086,0,0,0,226,647,1718,2016-04-13,2,455,488
"58",5553957443,2016-05-09,11611,7.579999924,7.579999924,0,2.130000114,0.8899999857,4.559999943,0,59,22,251,667,2272,2016-05-09,1,453,494
"59",5553957443,2016-04-21,12346,8.06000042,8.06000042,0,2.950000048,2.160000086,2.960000038,0,47,42,177,801,2066,2016-04-21,1,399,431
"60",5553957443,2016-04-22,11682,7.630000114,7.630000114,0,1.379999995,0.6299999952,5.599999905,0,25,16,270,781,2105,2016-04-22,1,322,353
"61",5577150313,2016-05-05,7550,5.639999866,5.639999866,0,2.5,0.4699999988,2.670000076,0,45,21,143,1153,3004,2016-05-05,1,74,78
"62",5577150313,2016-04-24,15764,11.77999973,11.77999973,0,7.650000095,2.150000095,1.980000019,0,210,65,141,425,4392,2016-04-24,1,543,615
"63",5577150313,2016-05-11,4038,3.039999962,3.039999962,0,1.830000043,0.3000000119,0.8899999857,0,45,15,63,257,1665,2016-05-11,1,431,476
"64",5577150313,2016-04-27,6805,5.139999866,5.139999866,0,1.809999943,0.400000006,2.930000067,0,63,16,190,773,3294,2016-04-27,1,424,452
"65",5577150313,2016-04-29,7924,5.920000076,5.920000076,0,2.839999914,0.6100000143,2.470000029,0,97,36,165,739,3544,2016-04-29,1,459,485
"66",6117666160,2016-04-23,11495,8.680000305,8.680000305,0,0,0,8.680000305,0,0,0,512,468,2651,2016-04-23,1,492,539
"67",6117666160,2016-05-01,8915,6.730000019,6.730000019,0,0,0,6.730000019,0,0,0,397,525,2361,2016-05-01,1,507,575
"68",6117666160,2016-05-09,4477,3.380000114,3.380000114,0,0,0,3.380000114,0,0,0,197,125,1248,2016-05-09,1,492,522
"69",6117666160,2016-05-08,7328,5.53000021,5.53000021,0,0,0,5.53000021,0,0,0,318,517,2250,2016-05-08,1,555,603
"70",6117666160,2016-04-27,9411,7.110000134,7.110000134,0,0,0,7.110000134,0,0,0,458,417,2576,2016-04-27,1,542,557
"71",6962181067,2016-04-29,10762,7.110000134,7.110000134,0,0.8199999928,0.4799999893,5.809999943,0,12,15,369,645,2254,2016-04-29,1,433,447
"72",6962181067,2016-04-21,11835,9.710000038,7.880000114,4.081692219,3.99000001,2.099999905,3.50999999,0.1099999994,53,27,214,708,2179,2016-04-21,1,451,457
"73",6962181067,2016-05-07,6815,4.5,4.5,0,0,0,4.5,0,0,0,328,745,1947,2016-05-07,1,298,334
"74",6962181067,2016-05-12,3587,2.369999886,2.369999886,0,0,0.25,2.109999895,0,0,8,105,127,928,2016-05-12,1,516,535
"75",6962181067,2016-05-09,12342,8.720000267,8.680000305,3.167821884,3.900000095,1.179999948,3.650000095,0,43,21,231,607,2105,2016-05-09,1,489,497
"76",7086361926,2016-04-27,11107,8.340000153,8.340000153,0,5.630000114,0.1800000072,2.529999971,0,55,6,145,829,2693,2016-04-27,1,469,479
"77",7086361926,2016-04-26,10387,7.070000172,7.070000172,0,4.159999847,0.7699999809,2.119999886,0,70,33,132,726,2781,2016-04-26,1,485,500
"78",7086361926,2016-04-12,11317,8.409999847,8.409999847,0,5.269999981,0.150000006,2.970000029,0,59,6,153,745,2772,2016-04-12,1,514,525
"79",7086361926,2016-04-15,8585,5.670000076,5.670000076,0,2.039999962,1.110000014,2.529999971,0,30,21,139,864,2395,2016-04-15,1,377,386
"80",7086361926,2016-05-07,12827,8.479999542,8.479999542,0,1.460000038,2.329999924,4.679999828,0,20,42,209,621,2739,2016-05-07,1,530,548
"81",8378563200,2016-05-12,4561,3.619999886,3.619999886,0,0.6499999762,0.2700000107,2.690000057,0,8,6,102,433,1976,2016-05-12,1,496,546
"82",8378563200,2016-04-14,13318,10.56000042,10.56000042,2.253081083,5.619999886,1.029999971,3.910000086,0,123,21,174,699,4163,2016-04-14,1,424,455
"83",8378563200,2016-05-03,8712,6.909999847,6.909999847,2.253081083,1.340000033,1.059999943,4.5,0,71,20,195,822,3784,2016-05-03,1,405,429
"84",8378563200,2016-04-28,5417,4.300000191,4.300000191,0,0.8999999762,0.4900000095,2.910000086,0,11,10,139,711,2884,2016-04-28,1,506,556
"85",8378563200,2016-05-02,6064,4.809999943,4.809999943,2.092147112,0.6299999952,0.1700000018,4.010000229,0,63,4,142,802,3491,2016-05-02,1,351,385
"86",8792009665,2016-05-01,1619,1.039999962,1.039999962,0,0,0,1.039999962,0,0,0,79,834,1962,2016-05-01,1,503,527
"87",8792009665,2016-04-29,8360,5.349999905,5.349999905,0,0.1400000006,0.2800000012,4.929999828,0,6,14,380,634,3101,2016-04-29,1,398,406
"88",8792009665,2016-04-12,2564,1.639999986,1.639999986,0,0,0,1.639999986,0,0,0,116,831,2044,2016-04-12,1,458,493
"89",8792009665,2016-04-28,6157,3.940000057,3.940000057,0,0,0,3.940000057,0,0,0,310,714,2780,2016-04-28,1,402,416
"90",8792009665,2016-04-27,1758,1.129999995,1.129999995,0,0,0,1.129999995,0,0,0,112,900,2067,2016-04-27,1,423,428
